iter	Passed	Remaining
398	347706	523738
399	348574	522861
400	349444	521988
401	350308	521106
402	351173	520224
403	352039	519344
404	352911	518475
405	353777	517595
406	354640	516711
407	355506	515832
408	356392	514982
409	357264	514112
410	358127	513229
411	358993	512349
412	359862	511475
413	360727	510595
414	361616	509748
415	362483	508871
416	363358	508005
417	364223	507124
418	365086	506241
419	365961	505375
420	366827	504496
421	367698	503624
422	368563	502744
423	369436	501875
424	370305	501002
425	371171	500122
426	372040	499248
427	372906	498369
428	373767	497484
429	374638	496614
430	375498	495727
431	376368	494855
432	377236	493979
433	378094	493091
434	378973	492229
435	379839	491351
436	380704	490472
437	381570	489595
438	382443	488726
439	383324	487866
440	384180	486977
441	385048	486101
442	385921	485232
443	386796	484367
444	387662	483489
445	388535	482620
446	389404	481747
447	390274	480874
448	391142	479999
449	392015	479130
450	392878	478249
451	393750	477379
452	394628	476515
453	395506	475653
454	396377	474781
455	397237	473897
456	398108	473026
457	398969	472142
458	399837	471268
459	400705	470393
460	401566	469510
461	402434	468635
462	403314	467775
463	404181	466899
464	405043	466017
465	405927	465162
466	406796	464288
467	407682	463433
468	408588	462602
469	409452	461723
470	410327	460855
471	411196	459982
472	412071	459116
473	412941	458242
474	413806	457365
475	414674	456490
476	415567	455642
477	416444	454778
478	417309	453900
479	418176	453024
480	419051	452157
481	419914	451277
482	420775	450395
483	421646	449524
484	422512	448647
485	423443	447839
486	424312	446966
487	425183	446093
488	426051	445219
489	426938	444364
490	427802	443485
491	428666	442606
492	429532	441730
493	430420	440876
494	431287	440000
495	432153	439124
496	433028	438256
497	433896	437381
498	434760	436502
499	435632	435632
500	436494	434752
501	437373	433888
502	438235	433008
503	439119	432149
504	439985	431273
505	440851	430396
506	441718	429520
507	442586	428646
508	443453	427771
509	444325	426900
510	445182	426016
511	446054	425145
512	446969	424316
513	447852	423455
514	448802	422659
515	449680	421792
516	450550	420920
517	451417	420044
518	452282	419167
519	453162	418303
520	454031	417430
521	454941	416594
522	455945	415843
523	456936	415079
524	457813	414211
525	458716	413368
526	459686	412584
527	460585	411735
528	461515	410914
529	462389	410043
530	463272	409180
531	464135	408299
532	464999	407419
533	465879	406554
534	466757	405686
535	467777	404941
536	468642	404062
537	469541	403212
538	470414	402339
539	471288	401467
540	472157	400592
541	473026	399716
542	473906	398849
543	474771	397970
544	475647	397100
545	476535	396240
546	477411	395369
547	478280	394494
548	479158	393625
549	480050	392768
550	480973	391936
551	482138	391301
552	483031	390443
553	483930	389590
554	484812	388723
555	485686	387850
556	486554	386972
557	487423	386095
558	488381	385288
559	489406	384533
560	490335	383702
561	491228	382843
562	492099	381967
563	492960	381082
564	493834	380208
565	494690	379321
566	495578	378457
567	496438	377572
568	497313	376699
569	498174	375815
570	499044	374938
